,rank_ic
2023-01-03,0.18162287448502806
2023-01-04,0.11681487953248162
2023-01-05,0.0738868588409194
2023-01-06,0.05390040384201222
2023-01-09,0.004204493070224533
2023-01-10,0.09813953432390304
2023-01-11,0.10791446236257624
2023-01-12,0.0786662092954678
2023-01-13,0.1337694497694498
2023-01-16,0.10829662829662831
2023-01-17,0.07672170472170473
2023-01-18,0.02277878277878278
2023-01-19,0.0027812187812187813
2023-01-20,-0.05830135030135031
2023-01-30,-0.08756351156351158
2023-01-31,-0.04521323728538157
2023-02-01,0.024311217028651896
2023-02-02,0.030391317168872275
2023-02-03,0.12375617300667399
2023-02-06,0.1568016633868337
2023-02-07,0.0984824303261177
2023-02-08,0.025768762750726676
2023-02-09,0.09749976830537951
2023-02-10,0.02592381158713824
2023-02-13,0.0172400175726829
2023-02-14,-0.03156660468083313
2023-02-15,0.049032984888696306
2023-02-16,-0.0352953592953593
2023-02-17,-0.00853826053826054
2023-02-20,0.0204998004998005
2023-02-21,0.042099774099774105
2023-02-22,0.0486981846981847
2023-02-23,-0.01107842307842308
2023-02-24,-0.06257628257628257
2023-02-27,-0.10047004047004048
2023-02-28,-0.059951267951267956
2023-03-01,-0.05511559911559912
2023-03-02,-0.06953837753837754
2023-03-03,-0.04422429222429223
2023-03-06,-0.05327477327477328
2023-03-07,-0.06173292173292174
2023-03-08,-0.0377929697929698
2023-03-09,-0.09235301834901032
2023-03-10,-0.10832875959116404
2023-03-13,-0.04335564823340374
2023-03-14,-0.07069968684873519
2023-03-15,-0.06058804696480046
2023-03-16,0.007891362304187955
2023-03-17,0.04964526780676633
2023-03-20,-0.01889548466301973
2023-03-21,-0.038112767593795845
2023-03-22,0.02069502368099562
2023-03-23,0.08182725382725384
2023-03-24,0.06399138216372684
2023-03-27,0.002957037197518159
2023-03-28,0.008563649822166855
2023-03-29,0.011717693645549355
2023-03-30,0.05537939352006805
2023-03-31,0.016964776146127816
2023-04-03,0.022619405756793873
2023-04-04,-0.013706148203829625
2023-04-06,-0.024829047313333838
